# These data have not received director's approval and as such are provisional and are subject to revision. The data are released on the conditions that neither the USGS nor the United States Government may be held liable for any damages resulting from its use.,,,,,,,,,,
#,,,,,,,,,,
#SITE_ABB: A text abbreviation of the site name primarily for use within the National Water Quality Program,,,,,,,,,,
#SITE_QW_ID: Unique USGS station number indicating location where water-quality samples are collected (Note that opening this file in Excel may cause leading zeros to be dropped from this field unless imported into an open worksheet and changing columns A and B to text),,,,,,,,,,
#SITE_FLOW_ID: Typically a unique USGS station number indicating location where streamflow data is recorded. In some instances these data are obtained from outside sources--in those cases the site number used by that entity is displayed, if no site number is available an abbreviated indicator of the collecting agency is displayed  (Note that opening this file in Excel may cause leading zeros to be dropped from this field unless imported into an open worksheet and changing columns A and B to text) ,,,,,,,,,
#CONSTIT: A character abbreviation indicative of the water-quality constituent being reported. Values include NO3_NO2: nitrate plus nitrite, filtered as N; TN: total nitrogen as N; TP: total phosphorus as P; SSC: suspended-sediment concentration; NH3: ammonia, filtered as N; OP: orthophosphate, filtered, as P; TKN: total Kjeldahl nitrogen, as N; SI: silica, filtered, as SiO2,,,
#WY: A numeric identifier of the water year in which data were recorded.  A water year is defined as the 12-month period October 1, for any given year through September 30, of the following year. The water year is designated by the calendar year in which it ends.,,,,,,,,
#MODTYPE: A character indicator of the type of model used to compute water-quality loads. Values include COMP indicating the composite method; CONTIN indicating loads were computed through the use of continuous nitrate data; DAILY indicating data were computed using daily values (SSC only); REG indicating models were computed using regression methods described in the technical information portion of the website using a 5-year moving window; REG_2; REG_3; REG_4 indicating models were computed using regression methods described in the technical information portion of the website but with a 2 3 or 4-year moving windows (respectively) as opposed to a 5-year moving window; REG_PRELIM indicating that a model was developed using data collecting during the initial 2-4 years in which a site was sampled; models at these sites will continue to be updated until 5 years of data are collected; and REGHIST indicating that models were computed according to procedures described in Aulenbach and others (2007),,,,,,,,,,
#TONS: Annual water-quality load measured in tons,,,,,,,,,,
#TONS_L95: Lower 95 percent confidence interval about the annual water-quality load measured in tons. NA values indicate that confidence intervals were not computed.,,,,,,,,,,
#TONS_U95: Upper 95 percent confidence interval about the annual water-quality load measured in tons. NA values indicate that confidence intervals were not computed.,,,,,,,,,,
#FWC: Flow-weighted constituent concentration in milligrams per liter per year,,,,,,,,,,
#YIELD: Water-quality constituent yield; in tons per square mile; defined as the load divided by the upstream drainage area of the water-quality site.  Yields are not computed (and are listed as NA) for Mississippi and Atchafalaya River sites downstream from the Old River diversion.,,,,,,,,,,
SITE_ABB,SITE_QW_ID,SITE_FLOW_ID,CONSTIT,WY,MODTYPE,TONS,TONS_L95,TONS_U95,FWC,YIELD
THOM,1184000,1184000,TN,2001,REG,9730,8730,10800,0.617,1.01
THOM,1184000,1184000,TN,2002,REG,7890,7310,8500,0.592,0.817
THOM,1184000,1184000,TN,2003,REG,10100,9520,10800,0.635,1.05
THOM,1184000,1184000,TN,2004,REG,11800,10800,12700,0.603,1.22
THOM,1184000,1184000,TN,2005,REG,11000,10100,12000,0.632,1.14
THOM,1184000,1184000,TN,2006,REG,16800,14600,19200,0.644,1.74
THOM,1184000,1184000,TN,2007,REG,12200,11400,13000,0.602,1.26
THOM,1184000,1184000,TN,2008,REG,13400,12600,14200,0.58,1.39
THOM,1184000,1184000,TN,2009,REG,11700,10800,12600,0.555,1.21
THOM,1184000,1184000,TN,2010,REG,9740,9090,10400,0.539,1.01
THOM,1184000,1184000,TN,2011,REG,12700,11900,13600,0.489,1.31
THOM,1184000,1184000,TN,2012,REG,8780,8300,9280,0.517,0.909
THOM,1184000,1184000,TN,2013,REG,10200,9730,10700,0.564,1.06
THOM,1184000,1184000,TN,2014,REG,10900,10200,11600,0.607,1.13
THOM,1184000,1184000,TN,2015,REG,8850,8450,9270,0.556,0.916
THOM,1184000,1184000,TN,2016,REG,7480,7040,7950,0.524,0.774
THOM,1184000,1184000,TP,1993,REG,927,633,1310,0.055,0.096
THOM,1184000,1184000,TP,1994,REG,889,646,1190,0.0481,0.092
THOM,1184000,1184000,TP,1995,REG,569,449,710,0.0482,0.0589
THOM,1184000,1184000,TP,1996,REG,1360,919,1940,0.0553,0.141
THOM,1184000,1184000,TP,1997,REG,1020,752,1350,0.0497,0.106
THOM,1184000,1184000,TP,1998,REG,1400,683,2560,0.0741,0.145
THOM,1184000,1184000,TP,1999,REG,946,607,1410,0.0682,0.0979
THOM,1184000,1184000,TP,2000,REG,1240,860,1720,0.0629,0.128
THOM,1184000,1184000,TP,2001,REG,1170,619,2030,0.0742,0.121
THOM,1184000,1184000,TP,2002,REG,560,428,719,0.042,0.058
THOM,1184000,1184000,TP,2003,REG,769,605,963,0.0483,0.0796
THOM,1184000,1184000,TP,2004,REG,786,647,946,0.0401,0.0814
THOM,1184000,1184000,TP,2005,REG,991,706,1350,0.0569,0.103
THOM,1184000,1184000,TP,2006,REG,2000,1330,2900,0.0766,0.207
THOM,1184000,1184000,TP,2007,REG,1250,751,1960,0.0617,0.129
THOM,1184000,1184000,TP,2008,REG,1150,925,1410,0.0498,0.119
THOM,1184000,1184000,TP,2009,REG,843,689,1020,0.04,0.0873
THOM,1184000,1184000,TP,2010,REG,921,755,1110,0.0509,0.0953
THOM,1184000,1184000,TP,2011,REG,2470,1880,3200,0.0951,0.256
THOM,1184000,1184000,TP,2012,REG,687,608,774,0.0404,0.0711
THOM,1184000,1184000,TP,2013,REG,867,760,986,0.0479,0.0898
THOM,1184000,1184000,TP,2014,REG,1120,918,1360,0.0624,0.116
THOM,1184000,1184000,TP,2015,REG,776,658,909,0.0488,0.0803
THOM,1184000,1184000,TP,2016,REG,626,532,731,0.0438,0.0648
WINN,1209710,1209700,NH3,1993,REG,1.52,1.3,1.77,0.0262,0.0461
WINN,1209710,1209700,NH3,1994,REG,1.53,1.31,1.77,0.0286,0.0464
WINN,1209710,1209700,NH3,1996,REG,1.86,1.59,2.17,0.0283,0.0564
WINN,1209710,1209700,NH3,1997,REG,2.1,1.82,2.4,0.0262,0.0636
WINN,1209710,1209700,NH3,1998,REG,1.53,1.25,1.88,0.0263,0.0464
WINN,1209710,1209700,NH3,1999,REG,1.54,1.18,2.08,0.0309,0.0467
WINN,1209710,1209700,NH3,2000,REG,1.44,1.2,1.71,0.0309,0.0436
WINN,1209710,1209700,NH3,2001,REG,0.733,0.586,0.925,0.0179,0.0222
WINN,1209710,1209700,NH3,2002,REG,0.356,0.302,0.418,0.013,0.0108
WINN,1209710,1209700,NH3,2003,REG,0.809,0.693,0.957,0.0125,0.0245
WINN,1209710,1209700,NH3,2004,REG,1.44,0.962,2.59,0.0196,0.0436
WINN,1209710,1209700,NH3,2005,REG,0.821,0.681,1,0.0143,0.0249
WINN,1209710,1209700,NH3,2006,REG,4.83,1.38,19.9,0.0539,0.146
WINN,1209710,1209700,NH3,2007,REG,1.39,1.02,1.85,0.0177,0.0421
WINN,1209710,1209700,NH3,2008,REG,0.818,0.653,1.02,0.0153,0.0248
WINN,1209710,1209700,NH3,2009,REG,0.889,0.774,1.02,0.0154,0.0269
WINN,1209710,1209700,NH3,2010,REG,0.962,0.662,1.4,0.0127,0.0292
WINN,1209710,1209700,NH3,2011,REG,0.964,0.746,1.23,0.0114,0.0292
WINN,1209710,1209700,NH3,2012,REG,0.51,0.449,0.577,0.0101,0.0155
WINN,1209710,1209700,NH3,2013,REG,0.771,0.667,0.888,0.0152,0.0234
WINN,1209710,1209700,NH3,2014,REG,0.538,0.46,0.628,0.0116,0.0163
WINN,1209710,1209700,NH3,2015,REG,0.497,0.444,0.554,0.0116,0.0151
WINN,1209710,1209700,NH3,2016,REG,0.415,0.374,0.46,0.0118,0.0126
WINN,1209710,1209700,NO3_NO2,1993,REG,33.4,26.1,42.3,0.575,1.01
WINN,1209710,1209700,NO3_NO2,1994,REG,29.8,23.9,37,0.556,0.903
WINN,1209710,1209700,NO3_NO2,1995,REG,22,17.2,27.7,0.615,0.667
WINN,1209710,1209700,NO3_NO2,1996,REG,35.6,28,44.8,0.541,1.08
WINN,1209710,1209700,NO3_NO2,1997,REG,42.3,32.4,54.4,0.527,1.28
WINN,1209710,1209700,NO3_NO2,1998,REG,37.9,29.5,48.7,0.651,1.15
WINN,1209710,1209700,NO3_NO2,1999,REG,25.3,17.6,36.1,0.507,0.767
WINN,1209710,1209700,NO3_NO2,2000,REG,19.3,14.5,25.5,0.414,0.585
WINN,1209710,1209700,NO3_NO2,2001,REG,20.6,15.2,27.7,0.502,0.624
WINN,1209710,1209700,NO3_NO2,2002,REG,13.7,10.4,17.8,0.501,0.415
WINN,1209710,1209700,NO3_NO2,2003,REG,42.3,33.3,53.5,0.655,1.28
WINN,1209710,1209700,NO3_NO2,2004,REG,52.2,40.7,66.5,0.711,1.58
WINN,1209710,1209700,NO3_NO2,2005,REG,42,34.1,51.7,0.73,1.27
WINN,1209710,1209700,NO3_NO2,2006,REG,54.6,42.1,73.2,0.609,1.65
WINN,1209710,1209700,NO3_NO2,2007,REG,49.6,37.3,64.7,0.63,1.5
WINN,1209710,1209700,NO3_NO2,2008,REG,32.7,28.7,37.2,0.612,0.991
WINN,1209710,1209700,NO3_NO2,2009,REG,30.5,27.2,34,0.528,0.924
WINN,1209710,1209700,NO3_NO2,2010,REG,48.7,41.3,57.2,0.643,1.48
WINN,1209710,1209700,NO3_NO2,2011,REG,48.2,41.1,56.2,0.572,1.46
WINN,1209710,1209700,NO3_NO2,2012,REG,27.9,24.9,31.1,0.553,0.845
WINN,1209710,1209700,NO3_NO2,2013,REG,30.5,27,34.3,0.601,0.924
WINN,1209710,1209700,NO3_NO2,2014,REG,30.2,26.1,34.8,0.651,0.915
WINN,1209710,1209700,NO3_NO2,2015,REG,27.5,25.2,29.9,0.64,0.833
WINN,1209710,1209700,NO3_NO2,2016,REG,21.9,20.2,23.7,0.624,0.664
WINN,1209710,1209700,OP,1993,REG,0.472,0.422,0.527,0.00813,0.0143
WINN,1209710,1209700,OP,1994,REG,0.84,0.75,0.941,0.0157,0.0255
WINN,1209710,1209700,OP,1996,REG,1.14,1.02,1.27,0.0173,0.0345
WINN,1209710,1209700,OP,1997,REG,1.14,1.02,1.27,0.0142,0.0345
WINN,1209710,1209700,OP,1998,REG,0.862,0.736,1.02,0.0148,0.0261
WINN,1209710,1209700,OP,1999,REG,0.707,0.616,0.834,0.0142,0.0214
WINN,1209710,1209700,OP,2000,REG,0.801,0.726,0.891,0.0172,0.0243
WINN,1209710,1209700,OP,2001,REG,0.598,0.51,0.708,0.0146,0.0181
WINN,1209710,1209700,OP,2002,REG,0.792,0.65,0.957,0.029,0.024
WINN,1209710,1209700,OP,2003,REG,1.36,1.18,1.57,0.0211,0.0412
WINN,1209710,1209700,OP,2004,REG,1.29,1.06,1.59,0.0176,0.0391
WINN,1209710,1209700,OP,2005,REG,0.503,0.435,0.584,0.00875,0.0152
WINN,1209710,1209700,OP,2006,REG,1.26,1.08,1.47,0.0141,0.0382
WINN,1209710,1209700,OP,2007,REG,0.916,0.772,1.08,0.0116,0.0278
WINN,1209710,1209700,OP,2008,REG,0.799,0.656,0.966,0.015,0.0242
WINN,1209710,1209700,OP,2009,REG,1.25,1.13,1.38,0.0216,0.0379
WINN,1209710,1209700,OP,2010,REG,0.781,0.697,0.876,0.0103,0.0237
WINN,1209710,1209700,OP,2011,REG,1.48,1.31,1.66,0.0176,0.0448
WINN,1209710,1209700,OP,2012,REG,0.754,0.7,0.813,0.0149,0.0228
WINN,1209710,1209700,OP,2013,REG,1.06,0.919,1.21,0.0209,0.0321
WINN,1209710,1209700,OP,2014,REG,0.503,0.446,0.565,0.0108,0.0152
WINN,1209710,1209700,OP,2015,REG,0.513,0.461,0.569,0.0119,0.0155
WINN,1209710,1209700,OP,2016,REG,0.465,0.408,0.528,0.0133,0.0141
WINN,1209710,1209700,SI,1993,REG,448,425,472,7.72,13.6
WINN,1209710,1209700,SI,1994,REG,392,371,415,7.32,11.9
WINN,1209710,1209700,SI,1996,REG,478,453,505,7.26,14.5
WINN,1209710,1209700,SI,1997,REG,613,582,644,7.64,18.6
WINN,1209710,1209700,SI,1998,REG,435,405,468,7.47,13.2
WINN,1209710,1209700,SI,1999,REG,318,298,341,6.37,9.64
WINN,1209710,1209700,SI,2000,REG,336,324,349,7.2,10.2
WINN,1209710,1209700,SI,2001,REG,270,241,302,6.58,8.18
